CODIGO_INST,COHORTE,SEXO,NIVEL_ED_PADRE,NIVEL_ED_MADRE,ANOS_REPITIO,ESTRATO_ACTUAL,INGRESOS,TIPO_PLANTEL,ZONA_LUGAR_RESIDENCIA,SISBEN,URBANA_SISBEN,RURAL_SISBEN,PMATN,PINGN,PCRIN,PCIUN,PNATN,VIVE_CON,SITUACION_PADRES,sexo,nivel_edu_padre,nivel_edu_madre,nivel_edu_max_padres,repitio_escolar,estrato,icfes_mat,icfes_ing,icfes_lec,icfes_soc,icfes_nat,icfes_total,tipo_plantel,zona_rural,log_ingresos,sisben_nivel,vive_con,situacion_padres,cohorte_encoded,prom_sem1,PROMEDIO_CARRERA,graduado,rendimiento_bajo
160004134,2018-1,M,3.0,2.0,N,1,7800000,G,U,S,3,0,69.0,56.0,64.0,69.0,67.0,5.0,3.0,1,2,1,2,0,1,69.0,56.0,64.0,69.0,67.0,325.0,0,0,15.86963441986494,3,5,3,1,4.0,4.0,1,0
160004135,2018-1,F,12.0,14.0,N,3,26400000,P,U,N,0,0,74.0,79.0,68.0,67.0,72.0,1.0,2.0,0,10,12,12,0,3,74.0,79.0,68.0,67.0,72.0,360.0,1,0,17.088874605995333,0,1,2,1,3.8,2.7,0,1
160004136,2018-1,M,5.0,5.0,N,3,8468000,G,U,S,1,0,69.0,63.0,64.0,51.0,62.0,2.0,2.0,1,4,4,4,0,3,69.0,63.0,64.0,51.0,62.0,309.0,0,0,15.951805029328526,1,2,2,1,3.0,3.1,0,0
160004137,2018-1,M,4.0,4.0,N,1,12000000,G,U,S,1,0,65.0,66.0,59.0,56.0,70.0,1.0,2.0,1,3,3,3,0,1,65.0,66.0,59.0,56.0,70.0,316.0,0,0,16.300417291085605,1,1,2,1,3.4,3.8,1,0
160004139,2018-1,F,5.0,4.0,N,1,9172000,G,U,S,2,0,76.0,64.0,64.0,71.0,63.0,2.0,1.0,0,4,3,4,0,1,76.0,64.0,64.0,71.0,63.0,338.0,0,0,16.031666031987402,2,2,1,1,4.5,4.0,1,0
160004140,2018-1,M,12.0,12.0,S,3,16800000,P,U,N,0,0,74.0,80.0,71.0,74.0,74.0,1.0,2.0,1,10,10,10,1,3,74.0,80.0,71.0,74.0,74.0,373.0,1,0,16.636889503897294,0,1,2,1,4.1,3.1,0,0
160004141,2018-1,M,10.0,4.0,N,2,21600000,P,U,N,0,0,69.0,75.0,63.0,71.0,65.0,1.0,2.0,1,8,3,8,0,2,69.0,75.0,63.0,71.0,65.0,343.0,1,0,16.888203918950687,0,1,2,1,3.6,3.6,1,0
160004142,2018-1,M,5.0,2.0,S,1,17040000,G,U,S,0,1,69.0,63.0,64.0,61.0,66.0,2.0,2.0,1,4,1,4,1,1,69.0,63.0,64.0,61.0,66.0,323.0,0,0,16.651074138050888,1,2,2,1,2.5,2.5,0,1
160004143,2018-1,M,14.0,12.0,N,3,10800000,G,U,N,0,0,67.0,56.0,68.0,54.0,58.0,1.0,2.0,1,12,10,12,0,3,67.0,56.0,68.0,54.0,58.0,303.0,0,0,16.195056784687036,0,1,2,1,1.8,1.8,0,1
160004144,2018-1,F,14.0,12.0,N,2,12000000,G,U,N,0,0,61.0,63.0,63.0,67.0,62.0,1.0,2.0,0,12,10,12,0,2,61.0,63.0,63.0,67.0,62.0,316.0,0,0,16.300417291085605,0,1,2,1,1.0,1.0,0,1
160004145,2018-1,F,5.0,5.0,N,2,7235206,G,U,S,1,0,63.0,62.0,63.0,56.0,64.0,2.0,2.0,0,4,4,4,0,2,63.0,62.0,63.0,56.0,64.0,308.0,0,0,15.79446952855758,1,2,2,1,3.4,3.9,1,0
160004146,2018-1,M,,,N,3,36163000,P,U,N,0,0,66.0,67.0,62.0,62.0,54.0,1.0,2.0,1,0,0,0,0,3,66.0,67.0,62.0,62.0,54.0,311.0,1,0,17.40354708230122,0,1,2,1,3.6,3.6,0,0
160004147,2018-1,M,4.0,4.0,S,1,8160000,P,U,S,2,0,62.0,58.0,65.0,69.0,60.0,1.0,1.0,1,3,3,3,1,1,62.0,58.0,65.0,69.0,60.0,314.0,1,0,15.914754849489302,2,1,1,1,2.6,2.9,0,1
160004148,2018-1,M,,5.0,S,3,7800000,G,U,S,1,0,63.0,55.0,63.0,59.0,64.0,2.0,1.0,1,0,4,4,1,3,63.0,55.0,63.0,59.0,64.0,304.0,0,0,15.86963441986494,1,2,1,1,3.5,,0,0
